m = 2, err is : 0.4609520916322449
m = 3, err is : 0.4570805448239851
m = 4, err is : 0.4519448797581908
m = 5, err is : 0.4486753670235202
m = 6, err is : 0.4534999596178266
m = 7, err is : 0.2721268811768857
m = 8, err is : 0.255823539936228
m = 9, err is : 0.1838363828323003
m = 10, err is : 0.1860842986095324
m = 11, err is : 0.15380248496581564
m = 12, err is : 0.147949991084034
m = 13, err is : 0.1700178244300646
m = 14, err is : 0.14991784075760625
m = 15, err is : 0.09780149029940013
m = 16, err is : 0.11312949010217399
m = 17, err is : 0.10304248702301441
m = 18, err is : 0.12769404819673955
m = 19, err is : 0.24809928639881393
m = 20, err is : 0.1417533132272511
m = 21, err is : 0.24227010590447498
m = 22, err is : 0.04677453169821739
m = 23, err is : 0.07815402858981454
m = 24, err is : 0.08575699431195469
m = 25, err is : 0.10438711215202236
m = 26, err is : 0.03658367582811908
m = 27, err is : 0.04109885146713271
m = 28, err is : 0.0489842549204442
m = 29, err is : 0.060368828951328064
m = 30, err is : 0.11467365027500094
m = 31, err is : 0.030266200478694907
m = 32, err is : 0.07795054917725285
m = 33, err is : 0.20504657048675112
m = 34, err is : 0.062328328840389614
m = 35, err is : 0.06262146228566372
m = 36, err is : 0.12068098632193618
m = 37, err is : 0.03485307795241913
m = 38, err is : 0.1205538021339268
m = 39, err is : 0.05899830351407501
m = 40, err is : 1.2623230527043567
m = 41, err is : 0.10422827331690848
m = 42, err is : 0.1732520013763246
m = 43, err is : 0.23377442022622294
m = 44, err is : 0.09751189006343769
